"tconst","parentTconst","primaryTitle","seasonNumber","episodeNumber","startYear","averageRating","numVotes","tmdb_source"
"tt3476_00_09","tt0092379","The Last Morse","0","9","","","",""
"tt764_00_01","tt0118401","Midsomer Murders 20th Anniversary Special","0","1","2019","","",""
"tt13335_00_01","tt0362357","Pilot","0","1","2003","","",""
"tt13335_00_02","tt0362357","Season 6: Features, Behind The Scenes","0","2","","","",""
"tt13335_00_03","tt0362357","Outtakes","0","3","","","",""
"tt13335_00_04","tt0362357","Season 7: Behind the Scenes Where There's Smoke","0","4","","","",""
"tt13335_00_05","tt0362357","Season 8: Features, Behind The Scenes","0","5","","","",""
"tt13335_00_06","tt0362357","Season 9: Episode 10 'The Day of the Stunt'","0","6","","","",""
"tt13335_00_07","tt0362357","Season 9: New Cop on the Block","0","7","","","",""
"tt13335_00_08","tt0362357","Season 10: Behind the Scenes","0","8","","","",""
"tt13335_00_09","tt0362357","Season 10: New Tricks in Gibraltar","0","9","","","",""
"tt13335_00_10","tt0362357","Season 11: New Team","0","10","","","",""
"tt13335_00_11","tt0362357","Season 12: Top Ten Moments","0","11","","","",""
"tt13335_00_12","tt0362357","Season 3: Behind the Scenes","0","12","","","",""
"tt13335_00_13","tt0362357","Season 5: Behind the Scenes","0","13","","","",""
"tt16835_01_01","tt0820430","Arrival","1","1","1977","","",""
"tt16835_01_02","tt0820430","Hiccups","1","2","1977","","",""
"tt16835_01_03","tt0820430","Hooter","1","3","1977","","",""
"tt16835_01_04","tt0820430","Glue","1","4","1977","","",""
"tt16835_01_05","tt0820430","Kites","1","5","1977","","",""
"tt16835_01_06","tt0820430","Tennis","1","6","1977","","",""
"tt16835_01_07","tt0820430","Sculptor","1","7","1977","","",""
"tt16835_01_08","tt0820430","Skating","1","8","1977","","",""
"tt16835_01_09","tt0820430","Umbrellas","1","9","1977","","",""
"tt16835_01_10","tt0820430","Swing","1","10","1977","","",""
"tt16835_01_11","tt0820430","Bubbles","1","11","1977","","",""
"tt16835_01_12","tt0820430","Clock","1","12","1977","","",""
"tt16835_01_13","tt0820430","Ball","1","13","1977","","",""
"tt16835_01_14","tt0820430","Coin","1","14","1977","","",""
"tt16835_01_15","tt0820430","Yo-Yo","1","15","1977","","",""
"tt16835_01_16","tt0820430","Photographer","1","16","1977","","",""
"tt16835_01_17","tt0820430","Christmas","1","17","1977","","",""
"tt16835_01_18","tt0820430","Architect","1","18","1977","","",""
"tt16835_01_19","tt0820430","Balloons","1","19","1977","","",""
"tt16835_01_20","tt0820430","High Jump","1","20","1977","","",""
"tt16835_01_21","tt0820430","Magician","1","21","1977","","",""
"tt16835_01_22","tt0820430","Artist","1","22","1977","","",""
"tt16835_01_23","tt0820430","Home Movie","1","23","1977","","",""
"tt16835_01_24","tt0820430","Nuts","1","24","1977","","",""
"tt16835_01_25","tt0820430","TV","1","25","1977","","",""
"tt99962_04_01","tt10720914","The Rule of Three","4","1","2024","8.2","4",""
"tt99962_04_02","tt10720914","Jinxy Sings The Blues","4","2","2024","8.2","4",""
"tt99962_04_03","tt10720914","Wedding Fever","4","3","2024","8.2","4",""
"tt136275_03_01","tt15499118","Christmas Special","3","1","2023","","",""
"tt136275_03_02","tt15499118","Ocean","3","2","2024","6.0","1",""
"tt136275_03_03","tt15499118","Duel","3","3","2024","6.0","1",""
"tt136275_03_04","tt15499118","Jackal","3","4","2024","8.0","1",""
"tt136275_03_05","tt15499118","Fashion","3","5","2024","6.0","1",""
"tt136275_03_06","tt15499118","Kidnap","3","6","2024","8.0","1",""
"tt136275_03_07","tt15499118","Windows","3","7","2024","6.0","1",""
"tt136275_04_01","tt15499118","Christmas Special","4","1","2024","5.0","1",""
"tt136275_04_02","tt15499118","Beach Club","4","2","2025","7.0","1",""
"tt136275_04_03","tt15499118","Inheritance","4","3","2025","1.0","1",""
"tt136275_04_04","tt15499118","Bad Education","4","4","2025","1.0","1",""
"tt136275_04_05","tt15499118","The Blueprint","4","5","2025","5.0","1",""
"tt136275_04_06","tt15499118","Antique Antics","4","6","2025","6.0","1",""
"tt136275_04_07","tt15499118","Where Eagles Dare","4","7","2025","7.0","1",""
"tt41956_00_01","tt1888075","Christmas Special","0","1","2021","9.0","2",""
"tt41956_00_02","tt1888075","Christmas Special 2022: The Death Ghost","0","2","2022","9.0","1",""
"tt41956_00_04","tt1888075","Remember... Death in Paradise","0","4","2024","","",""
"tt46923_00_01","tt2396135","Alison O’Donnell Remembers… Shetland","0","1","2024","","",""
"tt46923_10_01","tt2396135","Episode 1","10","1","2025","","",""
"tt44264_00_02","tt2701582","Endeavour: The Evolution","0","2","2021","","",""
"tt44264_00_03","tt2701582","Morse and the Last Endeavour","0","3","2023","","",""
"tt243360_02_01","tt27846061","Episode 1","2","1","","","",""
"tt243360_02_02","tt27846061","Episode 2","2","2","","","",""
"tt243360_02_03","tt27846061","Episode 3","2","3","","","",""
"tt243360_02_04","tt27846061","Episode 4","2","4","","","",""
"tt243360_02_05","tt27846061","Episode 5","2","5","","","",""
"tt243360_02_06","tt27846061","Episode 6","2","6","","","",""
"tt77493_05_01","tt7526498","Such a Mad Marriage Never Was Before","5","1","2025","","",""
"tt77493_05_02","tt7526498","The Heavenly Harness'd Team","5","2","2025","","",""
"tt77493_05_03","tt7526498","Destruction, Blood and Massacre","5","3","2025","","",""
"tt77493_05_04","tt7526498","A Dark House","5","4","2025","","",""
"tt77493_05_05","tt7526498","The Endeavour of This Present Breath","5","5","2025","","",""
"tt77493_05_06","tt7526498","As I Have Seen a Swan","5","6","2025","","",""
"tt77493_05_07","tt7526498","An Honest Fellow","5","7","2025","","",""
"tt77493_05_08","tt7526498","Be Not Afraid of Greatness","5","8","2025","","",""
"tt77493_05_09","tt7526498","Daggers of the Mind","5","9","2025","","",""
"tt77493_05_10","tt7526498","Such Sweet Sorrow","5","10","2025","","",""
